dump line| message    | work id  | digitised b numbers            | Sierra system b numbers
  234675 |            | px9hewdm | b15836307                      | b15836307
  234715 |            | jypxdv4s | b21725147                      | b21725147
  234742 |            | pqpe4xqn | b24919846                      | b24919846
  234763 |            | zt34sk96 | b24915749                      | b24915749
  234785 |            | m8gjymjy | b3018356x                      | b3018356x
  234814 |            | gw2kd9w9 | b21459678                      | b21459678
  234838 |            | jsc8gqt6 | b28066078                      | b10460676,b28066078
  234867 |            | br8fsr5q | b30275970                      | b30275970
  234901 |            | j9mphpc4 | b24934409                      | b24934409
  234924 |            | npqnnq2m | b18026710                      | b1112362x,b18026710
  234948 |            | kjvmudce | b30032283                      | b30032283
  234984 |            | yyzmykws | b29743473                      | b29743473
  235016 |            | c92m7vsm | b22459650                      | b22459650
  235051 |            | m7d842up | b21357201                      | b21357201
  235081 |            | hbdnv69e | b24886245                      | b15505583,b24886245
  235102 |            | ufmhzyys | b28520403                      | b28520403
  235133 |            | vuqebqtm | b18250555                      | b18250555
  235157 |            | b87cc7p9 | b30354444                      | b10628137,b30354444
  235184 |            | yw8tjwep | b30627473                      | b1499768x,b30627473
  235206 |            | ps5qxtnd | b2178047x                      | b16616108,b2178047x
  235232 |            | qhkx47c3 | b29187710                      | b29187710
  235257 |            | dmm6w6k6 | b22272082                      | b22272082
  235288 |            | dxhk9kt8 | b30313338                      | b15227480,b30313338
  235305 |            | ajtqd6sm | b21149677                      | b21149677
  235319 |            | yerr46ca | b29107362                      | b29107362
  235349 |            | cygsru2b | b28745577                      | b12666282,b28745577
  235373 |            | qmqvjrmg | b31703525                      | b31703525
  235408 |            | syykg9y3 | b29424677                      | b29424677
  235428 |            | whyx73x4 | b21702779                      | b21702779
  235456 |            | cj3jjuz3 | b30107064                      | b30107064
  235478 |            | m59azqdk | b28038927                      | b28038927
  235498 |            | eeq5vydb | b21365222                      | b21365222
  235525 |            | agv5crzf | b17570694                      | b17570694
  235540 |            | uqjsfmz5 | b30243336                      | b30243336
